epoch,accuracy,loss,val_accuracy,val_loss
0,0.4583333432674408,1.366005778312683,0.5666666626930237,0.8071572184562683
1,0.7333333492279053,0.6746978163719177,0.7333333492279053,0.5411434769630432
2,0.8833333253860474,0.4980667531490326,0.8666666746139526,0.4406547248363495
3,0.9416666626930237,0.4166845381259918,0.9666666388511658,0.38584551215171814
4,0.9583333134651184,0.361444354057312,0.8666666746139526,0.34047746658325195
5,0.9333333373069763,0.33720362186431885,0.9333333373069763,0.2990025579929352
6,0.949999988079071,0.2922065854072571,0.8666666746139526,0.30048447847366333
7,0.9416666626930237,0.25323012471199036,0.8999999761581421,0.2470814436674118
8,0.9416666626930237,0.23666374385356903,0.9666666388511658,0.21645087003707886
9,0.9583333134651184,0.2008342742919922,0.9666666388511658,0.1984841674566269
10,0.9166666865348816,0.21609905362129211,0.8999999761581421,0.21349813044071198
11,0.9750000238418579,0.16605012118816376,0.9666666388511658,0.17075279355049133
12,0.949999988079071,0.17347411811351776,0.9666666388511658,0.18857406079769135
13,0.949999988079071,0.1438875049352646,0.9666666388511658,0.15731194615364075
14,0.9750000238418579,0.1355319321155548,0.9666666388511658,0.14125187695026398
15,0.9750000238418579,0.1320025622844696,0.9666666388511658,0.13371923565864563
16,0.9750000238418579,0.11578211188316345,0.8999999761581421,0.16700860857963562
17,0.9666666388511658,0.12490401417016983,0.9666666388511658,0.1238219290971756
18,0.9666666388511658,0.11086519807577133,0.9666666388511658,0.12080133706331253
19,0.9583333134651184,0.11473266780376434,0.9666666388511658,0.12663212418556213
